호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,뚝섬,26,4,3400,1985,7171,12832,17452,28727,24978,112910,15923,69070,12510,28580,12711,21972,15279,23494,18303,26312,20917,24672,24812,24822,31129,25650,50396,28745,103241,36987,52397,23504,30658,13336,27436,10865,19587,9592,6073,6884,14,68,8,16,0,1,0,0
2호선,성수,47,0,5092,3194,8452,25286,21797,60715,28552,227174,22036,108030,18677,38826,19439,30256,22022,32381,26396,36530,29197,34054,33883,35619,43756,35797,85276,40091,181903,50008,82577,32006,47241,17076,45226,13877,34190,12852,10678,11416,12,4198,2,10,0,5,0,0
2호선,건대입구,265,9,16062,2036,20466,17149,48418,23664,81666,57087,55961,42852,32617,34847,31299,37708,36465,46877,40507,54537,41916,54251,46036,58689,52978,67150,66096,93757,80858,142196,59037,104234,59026,61159,62883,53466,66699,46096,32226,28564,85,4011,15,26,0,2,0,0
2호선,구의(광진구청),45,3,12699,1098,23314,8780,58436,13606,98171,35094,58166,22228,30701,17551,26395,17249,27572,19950,27947,22323,25448,24077,24685,30334,27500,35372,32325,48846,39709,80004,21227,61932,16281,39619,15202,36235,13792,34292,5952,19038,36,1592,6,16,2,5,0,0
2호선,강변(동서울터미널),11,1,8253,2372,23505,22564,67028,25913,97589,43538,69686,37940,52330,35722,48997,34450,48599,39137,48621,41995,45437,45400,45300,52101,49716,58375,54781,73146,61226,103865,48610,76657,39533,50143,32174,40183,22792,39435,7689,21859,26,731,15,11,0,2,0,0
2호선,잠실나루,3,0,2588,1417,9969,9022,34456,20523,41338,33953,25594,23424,19319,15975,19241,14068,18781,17372,18817,17656,19453,16230,20113,16297,24884,16515,29607,22305,28159,34350,13949,27067,10241,15937,7468,14709,5472,14239,1976,8878,8,123,3,9,0,4,0,0
2호선,잠실(송파구청),73,3,10998,4791,40059,32377,94196,65595,139059,142711,101752,121810,65540,79211,65062,80124,73077,84204,80941,88413,82104,89614,92324,96950,109621,107760,147264,131591,187707,189591,128687,130252,128931,78916,102390,71180,72322,66565,20368,41438,72,427,10,22,0,8,0,0
2호선,잠실새내,9,0,4459,981,13652,7409,47605,14600,63245,23780,37613,25000,24144,20051,22661,21064,25424,22314,25877,26336,23710,27630,25166,30928,29888,34285,31251,48663,35331,74315,25853,53808,22276,30064,22000,25375,22167,23854,10747,13217,34,1209,20,19,0,4,0,0
2호선,종합운동장,5,0,1632,1060,5129,6258,15166,12134,20708,21865,15496,10858,9548,7195,8773,7026,9385,8630,9045,10659,9317,9415,10136,11647,12262,15969,15999,22489,16242,32814,10017,17810,9366,9825,17970,9180,8639,9468,3082,5651,10,461,2,4,0,1,0,0
2호선,삼성(무역센터),191,0,4628,4524,6470,40894,14365,118010,18650,282475,18134,211154,18806,86677,28104,57854,34746,51830,44202,57436,53477,49850,67709,44086,87269,43140,156615,46046,255905,51814,144234,29589,97252,15541,80135,12694,56023,9928,13086,6939,12,3755,5,5,0,8,0,0
