호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
3호선,종로3가,26,0,576,800,1172,4925,1572,12583,2047,39130,3067,40234,4500,27023,6818,21235,8053,20995,9394,20319,11844,19675,15072,17615,17318,15253,26768,15286,46922,14982,28062,8481,14460,4188,14681,3273,11544,2378,4351,1974,20,327,2,7,0,0,0,0
3호선,을지로3가,8,0,532,814,902,6790,1621,28175,2644,65378,3528,30879,4383,14536,6101,11705,7043,11254,8899,11715,10837,10410,12689,10345,15354,9904,31840,11161,56238,13691,24617,7611,15326,3458,14250,2354,12191,1548,5518,1302,10,157,5,5,0,0,0,0
3호선,충무로,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,4,0,1,0,3,0,3,0,5,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
3호선,동대입구,11,1,1406,1086,1979,7992,4529,13484,6151,43974,5241,24016,4701,16783,5628,13809,7091,12382,8245,12913,11270,11836,13072,9424,17521,8732,32785,9793,29937,10195,14268,6325,10306,3637,10871,4018,8576,3058,2274,2087,5,387,2,3,0,0,0,0
3호선,약수,99,11,5450,1091,8999,5653,23361,14713,34682,31069,24142,19272,16747,12973,16348,13212,17276,13825,17836,14462,17458,15541,19139,16398,19772,20294,23402,25914,30820,37623,16836,25581,13109,16914,12462,15158,9747,13289,3769,8113,17,2360,1,7,0,5,0,0
3호선,금호,43,6,4398,485,8949,2647,23997,4403,32139,8027,20502,6446,13632,5923,11594,6368,11427,7499,11263,8632,9931,9033,9861,11802,10514,14573,10863,18956,11063,27535,7159,20741,5544,13808,4643,11732,3497,10398,1305,6013,10,27,1,5,0,0,0,0
3호선,옥수,212,17,2774,916,8065,4049,21000,7492,28131,14270,19028,10304,13470,8202,12185,9258,12907,9994,13454,11848,12747,12094,13125,14835,15150,17056,16708,22263,17524,31993,10917,23652,8226,15326,7319,13595,5377,12311,2092,6656,64,716,4,4,0,0,0,0
3호선,압구정,39,1,2700,2049,7160,19568,14241,41498,20873,124053,17271,135981,19804,66891,25918,49885,29884,43507,33105,48214,40381,44523,48988,40898,59001,39586,78060,49976,121841,55464,88401,33401,68434,15100,50421,11334,37121,9518,10141,4887,13,1550,3,5,0,1,0,0
3호선,신사,42,3,3228,1347,5697,17412,9876,38419,16354,99771,12718,118771,14987,60729,20334,42702,23675,43623,28322,48565,34549,47030,42432,45104,53230,44666,78393,52302,124049,69382,87886,39979,58337,17740,62278,12155,54792,8763,18462,6521,23,196,7,7,0,0,0,0
3호선,잠원,2,1,1038,598,4423,5032,11079,7896,14952,9969,9501,6790,6838,5078,6781,5398,7338,5969,7390,7173,6770,6778,7338,7900,9353,8197,11141,10127,10524,14230,6351,10461,4427,6077,4112,5239,3121,5853,782,3324,2,12,0,3,0,0,0,0
3호선,고속터미널,93,1,4639,3001,5999,26282,21607,41133,35999,66807,38564,85348,38911,74447,50182,78815,61365,76162,68415,80791,75968,80947,86175,84801,98218,82486,115721,88805,120985,101373,102676,64964,115868,36344,70673,27539,45885,18715,14294,11084,51,416,11,6,0,2,0,0
3호선,교대(법원.검찰청),32,1,1091,489,2783,5999,6989,18150,10340,43786,8552,31237,9686,14084,12244,9725,13253,9416,16058,10013,18459,9597,21234,8933,23532,9135,37228,11756,59629,15814,25746,8826,19635,4420,21291,3353,20786,2903,5566,2187,6,51,5,1,0,0,0,0
3호선,남부터미널(예술의전당),40,0,2455,1083,7510,23158,23388,53078,35017,139305,30036,76479,27166,42826,30426,33428,32971,35116,36768,37130,38111,38439,42364,38092,50368,39935,80197,42544,124331,51541,60483,35294,42759,21229,35801,16361,25900,12398,7381,7983,12,118,0,5,0,0,0,0
3호선,양재(서초구청),128,2,5052,2242,12435,35201,29254,92412,39529,218385,28172,114994,25656,52799,28581,41602,32733,37543,37554,43060,40990,37790,48127,37741,57555,40249,105889,50841,181196,66262,88496,46815,57561,28079,52436,23579,37049,19134,9572,12420,16,1322,5,6,0,0,0,0
3호선,매봉,2,0,1326,574,5289,7893,13413,18842,15827,63367,11698,32665,9552,13049,9546,11325,10056,10691,12205,10784,13433,9785,14999,10675,17173,10974,30106,14679,57993,19354,21483,13503,13540,7988,14405,6659,9094,5982,2619,3672,10,454,0,0,0,0,0,0
3호선,도곡,13,0,897,337,2992,4069,7582,12022,9784,19174,6228,13879,4743,7055,5254,5937,5793,6075,6546,6395,6684,5588,8405,5776,10320,5838,14861,7270,16520,9150,8714,7690,5286,4327,4750,3863,3762,3781,980,2156,6,1440,1,3,0,0,0,0
3호선,대치,11,1,2214,767,9673,6922,22181,15166,20567,23325,12442,15788,9954,11743,10062,10253,12934,13344,14228,16779,12447,14953,14838,16701,16247,18034,23903,24493,24891,26245,16170,20186,11896,10764,12869,9736,27083,9321,2762,5582,5,53,2,4,0,0,0,0
3호선,학여울,0,0,401,251,1461,1755,3387,3053,3793,6778,2478,4677,2024,3128,2258,2640,2502,3059,2814,3149,2965,3167,3914,3113,4601,2648,5950,3052,6592,4220,2747,3117,1711,1750,1575,1574,1291,1618,241,1050,1,15,2,0,0,0,0,0
3호선,대청,42,1,3235,1005,9199,7015,23570,12898,27024,22412,15727,10727,12714,7016,11307,7296,11353,8773,11877,8808,12696,9158,15683,12329,15607,12516,19933,15680,22792,22974,10503,20121,6958,12436,5627,11143,4363,11782,1214,6649,2,186,1,6,0,0,0,0
3호선,일원,7,2,1801,1428,6978,7645,19671,25337,19265,22944,13105,15785,12926,14217,13499,9923,13968,11452,12771,13711,14454,11438,18151,11075,20918,9031,27828,11768,15017,16950,8090,14399,5519,9066,3915,8203,3143,9040,947,4242,1,83,0,2,0,0,0,0
3호선,수서,223,4,4206,1673,10705,12863,29929,27376,38439,46129,25043,28212,24254,20198,20057,16219,25147,19925,23673,19702,19958,19859,27327,22755,30087,25023,35723,30876,46398,42396,21740,32378,20186,21834,13575,16950,12295,16789,4323,7920,10,903,6,8,0,0,0,0
3호선,가락시장,8,0,2311,652,6029,4845,17165,9987,20245,25497,13627,14567,11856,10556,12185,10293,12303,10913,12568,11414,12720,11788,13578,13353,14669,14224,18244,16845,25978,22805,11866,16768,8777,10783,7976,8817,5871,7817,1671,4508,10,1200,2,4,0,1,0,0
3호선,경찰병원,8,1,2409,140,6236,2619,18755,7587,23143,27284,13315,13401,10174,8012,9049,6143,9352,7678,9374,8488,8993,7838,9187,8337,9106,8883,14294,12348,19078,18823,6603,15935,5037,9834,5118,7465,3043,7164,734,4090,4,968,0,3,0,0,0,0
3호선,오금,9,0,3092,1,6366,1935,22147,4901,26159,12791,13840,5330,8150,4406,7201,3958,7727,5176,6987,5478,6220,5109,5999,7503,7359,8179,9665,11601,11361,18405,4592,14261,3298,9224,2926,8129,2293,8562,483,4830,1,1425,1,7,0,5,0,0
4호선,수유(강북구청),96,12,19714,3330,40457,10916,102785,17982,116615,50412,70488,35253,48952,27748,44519,28684,45934,32511,46031,36142,43757,39725,42752,46878,45410,56645,51438,72936,57963,115833,34836,103704,26338,64653,23416,56213,19233,48511,8875,31706,39,569,5,20,0,0,0,0
4호선,미아(서울사이버대학),45,3,9764,1539,18593,5270,44641,15260,51077,28239,30485,16344,23192,13902,20934,14670,20958,15709,20707,16230,21580,17880,23153,21876,21506,25099,23465,30354,25114,45435,15642,37533,10747,22885,8739,20795,6493,17481,2513,12323,11,130,2,6,0,0,0,0
4호선,미아사거리,46,3,13940,1996,32850,7929,88247,17108,97043,31768,56171,30315,38854,25352,35805,26612,37533,29505,38491,31476,36471,35395,37848,42761,41857,50229,40727,62813,42277,100066,30749,79850,29375,45766,17970,39822,13810,34054,6247,20642,26,63,5,16,0,0,0,0
4호선,길음,20,0,8806,1951,25367,8945,73295,12644,79677,25476,42069,19663,27986,15907,24836,16975,25955,18483,25117,21227,23305,22486,24000,26531,26237,31600,31308,43128,28364,68246,17429,56629,13218,34320,10171,28954,9405,28507,3279,17022,16,81,1,9,0,0,0,0
4호선,성신여대입구(돈암),37,2,5126,1652,15617,6111,40624,14923,50435,32927,32126,24279,23377,19187,23696,20664,27848,23305,27782,25695,27715,26683,29506,28957,32521,32428,37077,42096,43497,61343,28283,49784,24301,29887,25133,25300,22669,23754,8901,15829,23,94,5,13,0,1,0,0
4호선,한성대입구(삼선교),68,3,6218,1021,10947,6086,27506,16670,34520,28023,23660,21629,16816,15828,16846,15890,19395,16611,20649,17894,19306,17148,19903,18451,26400,20493,28813,26638,30595,35232,16129,28200,12734,16977,11497,15415,9312,14620,3543,10586,17,5203,3,9,1,10,0,0
4호선,혜화,36,1,3142,2414,6533,18852,15908,41675,19273,105405,20997,71697,26245,47529,29663,44772,30397,51702,34497,68107,41409,61262,54304,48437,66902,46372,86984,54791,108048,64042,61136,45613,56135,18850,67351,16458,61580,13912,20485,9524,35,625,3,3,0,0,0,0
4호선,동대문,224,18,5431,2544,3633,12041,5190,33945,6977,72849,11109,64334,16251,50980,22791,46854,28667,36756,32149,37340,40159,36529,46950,29802,55305,22203,79442,16375,67857,12219,30506,14664,20737,10236,22341,6245,12345,4412,4849,5648,10,163,6,3,0,0,0,0
4호선,동대문역사문화공원(DDP),223,1,6840,1341,4209,10187,5938,23143,7239,62530,6786,34350,7452,22968,10796,21934,13858,20807,16077,21626,20981,21431,26324,18339,30827,16392,46839,17010,65944,18017,37796,24128,26831,12003,24758,7498,19097,5317,7847,4932,23,607,10,3,0,0,0,0
4호선,충무로,83,2,2697,2472,3794,16369,7125,48212,11193,157565,11418,89732,12078,43663,16006,35264,19600,31991,24968,32810,30461,29122,35206,25183,45117,24615,77497,27748,130050,31756,63200,18522,42977,9506,41046,8504,32047,6884,13718,5740,18,718,1,13,0,0,0,0
4호선,명동,45,1,584,765,1826,12258,2978,37071,4684,91539,5856,56969,7253,32579,11089,33336,15963,33465,20906,33948,25608,30935,32860,29448,42876,26073,57027,25429,95468,24279,47644,13832,38401,6322,33921,4166,17453,2658,4432,1617,7,176,0,4,0,0,0,0
4호선,회현(남대문시장),51,2,1811,703,3015,15298,4154,40243,6653,112179,7743,85800,11523,64741,19825,54303,26705,44738,34630,40206,42792,36755,49986,30243,62994,21589,81564,15627,104177,12892,39921,7334,37574,4180,15990,4451,9191,3504,2894,2024,4,218,0,2,0,0,0,0
4호선,서울역,160,2,3830,482,4558,9474,10055,29002,13385,75507,9638,38020,8226,17600,9443,15700,10296,17776,11142,18395,10897,18369,12516,20125,14090,21731,32936,25406,57319,26077,19262,19344,12148,12701,11294,11404,7946,9594,3052,6070,15,1431,0,2,0,0,0,0
4호선,숙대입구(갈월),18,3,2904,748,7242,6194,14851,19731,22915,44342,15323,27573,12624,13944,13526,13690,15108,14194,15662,15239,16225,15499,17581,15584,21970,17333,30794,22060,44480,30184,21992,21065,16071,12881,15618,11247,13913,10005,5828,6787,7,21,3,4,0,0,0,0
4호선,삼각지,3,0,580,317,1689,3975,4482,8950,6700,22714,4285,9739,3313,5661,3730,5391,4379,5915,5218,5816,5159,5656,5732,6007,6918,6292,11132,8403,20427,11644,8088,7831,5851,4320,5946,3543,4548,3299,2097,2610,5,390,1,5,0,1,0,0
4호선,신용산,3,1,1111,867,3417,10710,9486,29352,14254,83690,10995,51414,9101,21580,11854,16736,12483,16734,14616,17803,15484,17458,19821,17579,25918,18075,46122,20826,78097,26876,36049,16704,24305,9579,21378,7511,14170,5744,5452,3139,20,20,2,4,1,0,0,0
4호선,이촌(국립중앙박물관),49,4,1102,644,3751,6405,11467,12878,15616,24856,10449,13717,7653,10499,7868,10345,8895,10954,9719,12736,10323,11821,12441,12082,17387,11984,19881,14258,23585,19169,9965,14048,7071,8226,7735,6894,4532,6236,1631,3795,14,49,1,5,0,0,0,0
4호선,동작(현충원),37,1,472,197,1407,2513,4537,4087,5850,5889,4044,4098,3609,3505,3750,3155,3530,3143,3566,3907,4080,4323,4812,4769,5366,4661,6709,5682,7331,6788,3505,4859,2787,3122,2614,2557,1638,2309,607,1612,0,500,0,0,0,0,0,0
4호선,총신대입구(이수),80,3,6058,969,14415,11142,41853,16431,54582,37877,33990,30586,24889,22330,24265,21342,26257,24329,26923,26449,26439,27849,26636,32601,29506,37823,32991,49436,40298,70362,24055,48667,21019,26503,17944,22370,16135,20350,6506,11413,21,1396,2,11,0,1,0,0
4호선,사당,114,0,9895,1042,21030,14876,58412,20056,80199,31152,56080,25580,35020,20397,29764,22770,32501,24402,33605,24137,31308,24443,29971,28719,32302,36869,38408,53015,43770,78682,30158,57154,26660,30977,28893,27778,26617,26591,10064,17839,38,3868,12,16,3,7,0,0
4호선,남태령,28,0,525,103,821,1327,2112,2961,2622,4154,2240,1675,1791,1129,1727,977,1744,1155,1731,1136,1815,1180,1718,1313,2523,1301,3433,1591,3206,1719,1455,1404,970,922,562,783,253,702,99,414,3,57,0,0,0,0,0,0
4호선,당고개,50,0,7796,22,16977,6946,48285,8276,46599,13060,28421,12547,19432,12719,17979,11587,17639,12028,18296,13126,17651,13573,17141,16591,17064,19679,16831,24795,16253,34756,12487,33440,7333,22240,5567,18791,4140,17321,1083,13151,4,910,3,11,0,4,0,0
4호선,상계,49,1,12388,229,30975,6491,80394,14623,72313,18670,38685,15966,27287,14852,24839,14550,26184,17775,25319,18605,22987,19576,22052,23647,24372,29379,23274,37613,22456,59151,14398,57188,10633,34386,9573,29086,10775,26480,2789,20302,10,350,3,18,0,0,0,0
4호선,노원,148,4,10589,553,21506,7779,48967,13514,51203,26862,30044,29139,23716,22590,23379,20036,24696,24671,25821,27571,25267,28771,26394,31840,29222,35866,30967,46909,32367,74543,23243,62085,24059,35841,21546,30846,21104,26355,7532,19793,42,3366,10,26,0,0,0,0
4호선,창동,1553,14,15190,2824,33326,12240,85982,17816,76195,35326,48660,25265,37131,24062,34225,25543,36150,29505,35957,34352,33867,38849,35036,42881,39713,49265,41273,58268,40896,87983,23941,78388,18900,46037,17056,39766,14487,35125,6212,22722,288,4245,2,22,0,0,0,0
4호선,쌍문,121,17,21132,1037,46480,9246,112953,13972,121090,26265,70168,19566,46362,18154,39637,19030,39808,23126,37180,24734,33219,28594,31159,36359,33359,44338,34537,59433,34272,93656,21868,92593,15559,55871,13290,47651,10160,43177,4291,28156,14,1109,1,23,0,0,0,0
경부선,서울역,3,2,40,198,57,1406,6763,2662,13294,3496,8625,1965,7464,1518,8516,1037,8767,1395,8398,1412,4660,1422,9867,1786,10761,2119,11073,3549,11863,4953,11230,2637,7645,1496,8191,1116,6165,995,2513,257,36,15,0,0,0,0,0,0
경부선,남영,122,5,2480,1025,3995,7933,10379,19560,14846,50470,9559,26704,9103,10435,9318,9953,10308,10456,10967,10770,12463,9739,14046,10466,17188,11339,24061,14799,43092,19947,16500,13639,11604,8416,11017,7490,8701,7007,3765,4598,22,245,0,1,0,0,0,0
경부선,용산,373,2,3898,4770,4748,30457,18512,61451,26421,128139,27473,83179,23437,63235,35873,48073,34068,51431,42866,52584,40573,50595,61537,50071,68010,48761,95147,50294,132684,61743,78657,39653,69222,25130,65726,19409,40413,11811,15151,4883,473,1187,0,3,0,0,0,0
경부선,노량진,582,4,4931,1716,6267,5100,15781,11622,21622,19707,13049,11083,10091,8763,10867,9372,12139,11137,14297,12561,13218,11143,13192,13273,15098,15260,17901,23451,21895,36895,13389,22441,13580,12771,14751,11187,15508,9326,5819,7002,80,474,1,2,0,0,0,0
경부선,대방,541,4,5521,2418,9874,10062,27077,33201,35385,47295,20140,20453,15115,10599,14090,10122,15041,11336,15625,13353,14686,12389,16117,13834,17751,16080,29076,22738,43399,34635,16811,24190,11418,16171,10821,14801,8303,12842,2385,8357,19,782,0,1,0,0,0,0
경부선,영등포,4404,61,17308,6121,15201,20577,33716,51796,49525,110027,34764,82227,30034,63045,37734,64251,44031,66661,49477,72654,56180,68366,65277,70310,77937,70715,96196,82498,138340,109270,84533,70011,85247,36332,68939,27502,53841,22034,21515,12501,161,2904,5,8,0,0,0,0
경부선,신도림,628,9,2272,675,3235,2091,9741,6581,11426,15037,6430,6324,4546,4511,4293,4079,4768,4576,4781,4554,4520,4524,4824,5588,5686,6080,8512,8668,14055,13065,5907,8385,4333,4763,4358,4422,2966,3676,1326,2159,30,1650,0,3,0,0,0,0
경부선,신길,803,1,10651,2220,9815,5482,21757,15498,28125,27584,17055,10226,10883,6058,9984,6091,10678,6849,10705,7619,9309,7631,10871,9282,13464,10360,17999,16279,29093,21411,12220,15270,7500,10167,6799,11033,4734,9328,1868,5877,28,831,2,4,0,0,0,0
경부선,구로,12366,27,22784,5064,18039,11583,33812,29590,35246,73471,23492,41220,19071,23980,19352,21549,20809,21696,21316,22036,22233,21779,24122,24039,29206,26679,46107,37140,63346,43022,27972,30135,19393,19735,18248,18916,13102,14918,4929,13221,52,10839,0,44,0,0,0,0
경부선,가산디지털단지,1472,7,7974,2255,6607,10718,13345,45696,13715,134529,10312,70677,8697,20800,9882,15079,11577,14949,12153,17116,12999,15390,14644,15756,20909,18105,54530,22456,100674,26572,41919,19356,25237,11732,20924,10823,14034,9568,5417,5873,100,1334,0,0,0,0,0,0
경부선,금천구청,810,5,10541,1521,16860,5190,41917,14086,40601,25810,22318,10545,16216,8283,14495,8723,14745,11203,14009,11927,12899,12062,12915,15499,13789,18065,16455,25158,23172,40308,10957,32164,8039,16947,6620,17022,5003,13742,1823,9346,48,891,0,0,0,0,0,0
경부선,석수,433,8,7387,2656,14486,5758,35837,11330,36860,16604,20036,12722,13139,10097,12495,7051,12002,7874,11681,8214,11283,8348,13199,10482,14534,12324,17799,17058,18373,30369,10069,26203,6514,14810,5549,15116,3583,12721,1468,7293,43,899,0,0,0,0,0,0
경부선,관악,236,1,6918,2074,10747,4122,29125,4793,27705,8925,14488,9344,9750,8704,8731,6758,9068,7146,9370,6777,9442,6899,9850,7971,11816,9480,12305,13352,10847,23599,6253,20841,4543,11478,3919,11077,2319,9250,886,6243,65,1020,0,0,0,0,0,0
경부선,안양,331,3,13968,3565,27365,12369,70818,16076,65052,37445,36808,38669,26693,27683,28320,27781,32877,31716,32724,34531,31618,29923,35861,32836,42569,36718,45849,52028,39723,75092,25759,65773,23221,36570,24274,28527,19697,22585,8046,17559,445,3220,0,0,0,0,0,0
경부선,명학,151,1,6263,2485,8572,9853,22706,21257,20428,47617,10851,11826,8208,7104,8102,6224,9303,6541,8456,7343,8193,6569,8683,7291,12261,8807,23144,10917,32427,17741,11555,15928,10267,9906,7178,8518,4660,7180,1629,5393,79,1195,0,0,0,0,0,0
경부선,금정,316,4,21557,7138,30382,20296,70995,37012,74638,77247,43726,26726,29767,18887,28332,19600,29277,22383,28560,23447,25907,25246,27244,29278,34155,37404,51275,52051,65364,73480,31586,64216,24332,39325,20809,37904,15465,30871,6502,22805,430,6065,0,0,0,0,0,0
경부선,군포,84,31,5275,1886,8365,6779,16601,28071,16083,41636,9105,7054,7172,4809,7003,4633,7047,5043,6832,5648,6351,5450,6532,6533,8097,7472,18130,10850,34050,13169,11973,12325,9439,7725,7219,7050,3725,5652,1392,4235,104,599,0,0,0,0,0,0
경부선,의왕,161,4,5764,1556,11240,6869,27632,21138,26916,22502,12371,8462,10033,6859,9890,6924,9955,7769,10135,8757,9504,8187,10071,10133,13008,12004,21876,15677,21087,25076,10388,20837,7691,14209,6087,11620,3811,9834,1740,6687,119,1407,0,0,0,0,0,0
경부선,성균관대,169,2,7729,1783,22573,5034,57225,8824,47427,21347,22318,16046,17166,11787,16535,13168,18400,13116,18068,16999,16409,15192,17025,17721,20674,21091,23816,30247,23133,50226,14089,46443,11120,26754,10931,23698,9423,19850,4098,13760,227,2932,0,0,0,0,0,0
경부선,화서,419,2,5958,1888,16705,5593,34793,4508,25388,8137,11862,5390,9363,5089,8679,5470,8248,5474,7781,7489,7163,7084,7351,8366,9872,9370,10962,17569,9081,26679,5250,23156,3784,12847,3391,11752,2891,9666,922,6701,58,1515,0,0,0,0,0,0
경부선,수원,2286,35,18322,6624,29071,26314,62607,46160,57024,66570,39432,61115,37419,53635,44051,56676,48352,67370,49825,67332,52880,65796,61644,64289,76507,71873,84556,87441,91750,105579,73422,85224,74276,49638,55184,39715,48051,30748,18491,21610,550,6020,1,2,0,0,0,0
경부선,독산,608,2,6506,2772,14038,12967,34296,35355,33846,85002,19069,40173,14573,14432,13918,10514,15521,12697,15265,13223,14377,11867,15637,14456,22245,17047,43764,22229,65075,35666,29547,29687,16181,17111,12912,17550,8023,14089,2438,8840,81,590,0,0,0,0,0,0
경부선,세류,457,7,3132,810,6376,2806,12421,3777,8845,4356,4802,2677,3866,2457,3858,2790,3764,2945,3476,2921,3295,3057,3476,3282,4511,4762,5559,6238,5810,9578,3370,8610,2764,5808,2157,4995,1333,4040,427,2476,8,898,0,0,0,0,0,0
경부선,병점,2871,15,6438,3550,19732,10191,42407,18827,33514,22364,21604,13291,18337,10798,18736,12259,19032,13399,17483,14323,16756,15841,18099,16463,22468,23066,29210,28552,30515,39476,16771,37914,11906,25925,10101,21804,7444,18430,2446,12487,28,6837,0,0,0,0,0,0
경부선,세마,271,0,1785,505,4421,1499,8088,2962,6668,5827,4984,2027,3746,1665,3422,2053,3435,2155,3571,2621,3117,2714,3288,2051,3938,3718,4641,4884,5584,6574,2523,6711,1679,4473,1629,3723,932,3526,413,2009,29,155,0,0,0,0,0,0
경부선,오산대,176,1,2313,537,4916,1945,9255,3406,6658,8067,4938,4209,3918,4552,3958,4328,4487,3661,4964,5424,5315,4345,5725,2855,7436,4599,6904,5800,7624,9016,3673,7374,2830,4684,2593,4335,1629,3214,918,2370,62,134,0,0,0,0,0,0
경부선,오산,442,1,6197,1432,12333,7981,19352,20168,19247,18708,14705,12404,13985,9819,14708,9078,15894,11853,15100,12916,14135,12540,14536,15060,17473,17297,23574,20711,24575,25911,14347,21702,11564,16675,8247,12825,5193,9189,2138,6299,82,424,0,0,0,0,0,0
경부선,진위,15,0,730,215,1422,2285,2361,6003,2238,6901,1850,1227,1343,1239,1430,1049,1680,957,1590,1176,1511,1048,2096,1047,2597,1593,5323,1688,7629,2301,2851,2023,1850,1201,1267,1458,585,1281,224,680,6,53,0,0,0,0,0,0
경부선,송탄,116,1,5892,712,7215,2841,11692,4548,9134,6950,7287,3809,6639,3376,7027,4344,7159,4917,7256,4933,6246,5724,6823,6276,8068,7297,8100,9627,9389,10947,5537,11993,4172,8375,3242,8532,2103,7438,842,4385,56,488,0,0,0,0,0,0
경부선,서정리,32,2,2639,7236,7255,6183,11022,9799,10036,14329,7742,8062,7741,6068,8240,5283,10130,8493,9039,8608,8928,7154,10571,6900,14308,11386,19821,12281,17347,11629,9964,13171,6799,9250,4749,7892,2639,7288,943,4994,19,613,2,1,0,0,0,0
경부선,지제,8,0,833,1968,2148,5595,5792,7875,4605,5348,2759,2800,2601,1865,2583,2698,3759,2815,2466,2296,3008,2645,4432,3314,5089,3296,8469,3385,7688,5388,5313,4218,2865,3366,3144,2575,2184,2398,837,1620,0,105,0,0,0,0,0,0
경부선,평택,155,1,7208,2528,12140,7680,23493,14948,21699,20447,18668,17895,17531,14186,17374,18758,18853,19605,19912,20133,19278,20648,20929,22081,25081,25627,29396,29079,27896,31933,20859,23636,19109,19366,13032,14051,9834,11278,4883,7362,29,1802,0,0,0,0,0,0
경부선,성환,27,0,1440,645,2434,1843,5323,9757,4724,11641,4533,6688,4802,4343,5300,4692,6039,6905,7816,6646,6903,5247,7292,4705,9195,5763,13873,5995,10881,6657,4765,5173,3829,4364,2481,4288,1248,3839,529,3135,68,825,0,0,0,0,0,0
경부선,직산,35,0,482,214,1082,692,1506,1880,1055,2678,1021,761,1068,834,1012,825,1051,928,1037,989,1015,853,1153,865,1200,1144,2183,1255,2153,1432,936,1472,739,759,507,850,351,628,148,523,20,128,0,0,0,0,0,0
경부선,두정,1207,5,3704,761,7692,2439,11761,5792,9918,8789,7074,7676,6672,5150,6980,6839,7050,7483,7833,8711,7828,7088,8424,7380,9275,8873,11494,10996,11098,13990,6918,10614,5521,10260,4493,6829,3630,6315,1942,5448,29,1381,0,0,0,0,0,0
경부선,천안,1623,2,2514,598,4404,3696,8496,5010,7389,8432,8175,9030,8516,9087,9573,11128,9098,10447,10131,11995,11174,9367,12268,12825,13337,10910,13090,12065,12654,12951,9172,9327,6706,8259,5366,4501,3078,4050,1530,2302,14,2213,0,0,0,0,0,0
경부선,당정,19,1,3359,899,9191,2971,22436,7176,19810,14477,10783,5161,7821,3962,7725,4129,8075,4854,7648,5317,6463,5062,6662,7001,7630,8349,10604,11830,13848,16267,6249,17970,4724,11234,3438,9707,2897,8270,1067,6459,110,1247,0,0,0,0,0,0
경부선,서동탄,0,0,1228,5,4445,674,9915,1594,4367,1748,2079,753,1950,728,1857,1158,1755,1300,1561,1085,1476,1333,1790,1894,1886,1977,2147,3053,2453,4327,1109,5151,896,2910,518,1750,452,2289,113,1467,6,1229,0,0,0,0,0,0
경부선,광명,0,0,17,2054,2374,3352,11304,3754,9324,3457,5666,3573,966,2743,4045,1771,4631,2572,3474,2191,3153,4718,3644,3011,9595,3269,1789,4797,6883,10164,7093,6398,1421,3689,4383,2591,1946,4210,477,58,0,0,0,0,0,0,0,0
경인선,개봉,1279,29,17819,6157,32579,10785,83373,14962,79855,22261,46909,17521,33170,15012,29474,18311,30285,21940,29080,21396,25987,25281,25084,30323,27090,37598,29766,56550,28725,88015,17462,67220,13449,39339,11352,34599,8152,29283,3563,17928,143,2942,0,2,0,0,0,0
경인선,오류동,706,10,11479,1986,16557,5159,45931,5859,46988,10485,24592,9232,17699,8754,15659,9609,17685,10906,16212,11190,13840,13498,13386,15916,14349,18189,15119,24878,14304,40678,8635,34575,6702,22082,5705,18683,4405,15980,1743,10020,100,1847,0,0,0,0,0,0
경인선,역곡,975,23,25606,4016,40825,10476,109411,12745,108083,29221,56058,27960,37480,22532,35042,25132,37485,27692,35273,28102,31645,31007,32886,32817,35083,45995,37966,62921,35258,102701,22588,90697,18138,51043,15398,44604,13409,40499,5879,25102,368,3363,0,4,0,0,0,0
경인선,부천,2828,20,34702,4892,39471,12088,96743,18278,97280,41083,55088,37183,41724,34178,42787,36406,46001,44572,46025,48438,44398,49820,46233,50119,51701,59128,55184,78771,55726,115857,38008,100299,31783,56615,31403,48528,27351,38636,13185,28565,846,5311,2,7,0,0,0,0
경인선,송내,1451,15,14921,8280,33467,16009,100596,29192,83407,76186,45686,38540,32720,22120,33683,21419,34774,23571,32026,26555,29403,26223,30188,28861,35788,36289,44350,52356,70867,84274,31258,79011,23056,45241,19243,39200,15610,33772,6858,21644,934,4607,0,1,0,0,0,0
경인선,부평,7889,80,21602,5236,32489,11089,77519,18361,73131,30287,40224,35289,34459,30425,35855,37226,39556,44320,40625,50372,40831,51987,44138,55967,50561,63813,55975,78206,54278,121107,41804,95460,39210,55568,37641,44420,34470,36102,18004,25097,3039,7250,5,16,0,0,0,0
